Date,Open,High,Low,Close*,Adj Close**,Volume
2019-03-01,2798.22,2860.31,2722.27,2834.40,2834.40,79159660000.00
2019-02-01,2702.32,2813.49,2681.83,2784.49,2784.49,70638770000.00
2019-01-01,2476.96,2708.95,2443.96,2704.10,2704.10,80859870000.00
2018-12-01,2790.50,2800.18,2346.58,2506.85,2506.85,84162180000.00
2018-10-31,2717.58,2815.15,2631.09,2760.17,2760.17,80620020000.00
2018-09-30,2926.29,2939.86,2603.54,2711.74,2711.74,91930980000.00
2018-08-31,2896.96,2940.91,2864.12,2913.98,2913.98,63031510000.00
2018-07-31,2821.17,2916.50,2796.34,2901.52,2901.52,69523070000.00
2018-06-30,2704.95,2848.03,2698.95,2816.29,2816.29,64898300000.00
2018-05-31,2718.70,2791.47,2691.99,2718.37,2718.37,77891360000.00
2018-04-30,2642.96,2742.24,2594.62,2705.27,2705.27,76011820000.00
2018-03-31,2633.45,2717.49,2553.80,2648.05,2648.05,70194700000.00
2018-03-01,2715.22,2801.90,2585.89,2640.87,2640.87,76803890000.00
2018-02-01,2816.45,2835.96,2532.69,2713.83,2713.83,79933970000.00
2018-01-01,2683.73,2872.87,2682.36,2823.81,2823.81,77318690000.00
2017-12-01,2645.10,2694.97,2605.52,2673.61,2673.61,65531700000.00
2017-10-31,2583.21,2657.74,2557.45,2647.58,2647.58,73416960000.00
2017-09-30,2521.20,2582.98,2520.40,2575.26,2575.26,71088550000.00
2017-08-31,2474.42,2519.44,2446.55,2519.36,2519.36,66624120000.00
2017-07-31,2477.10,2490.87,2417.35,2471.65,2471.65,70784900000.00
2017-06-30,2431.39,2484.04,2407.70,2470.30,2470.30,63348090000.00
2017-05-31,2415.65,2453.82,2405.70,2423.41,2423.41,81078810000.00
2017-04-30,2388.50,2418.71,2352.72,2411.80,2411.80,79719460000.00
2017-03-31,2362.34,2398.16,2328.95,2384.20,2384.20,65369860000.00
2017-03-01,2380.13,2400.98,2322.25,2362.72,2362.72,81664010000.00
2017-02-01,2285.59,2371.54,2271.65,2363.64,2363.64,69260940000.00
2017-01-01,2251.57,2300.99,2245.13,2278.87,2278.87,70576420000.00
2016-12-01,2200.17,2277.53,2187.44,2238.83,2238.83,75344550000.00
2016-10-31,2128.68,2214.10,2083.79,2198.81,2198.81,88445380000.00
