Index,Date,Open,High,Low,Close,Adj Close,Volume
39,3/1/04,2036.92,2069.02,1896.91,1994.22,1994.22,42497500000
40,4/1/04,1996.45,2079.12,1919.39,1920.15,1920.15,40153120000
41,4/30/04,1928.72,1991.87,1865.4,1986.74,1986.74,32652780000
42,5/31/04,1978.52,2055.65,1960.26,2047.79,2047.79,32602090000
43,6/30/04,2045.53,2045.53,1829.06,1887.36,1887.36,35711700000
44,7/31/04,1874.93,1893.13,1750.82,1838.1,1838.1,30823660000
45,8/31/04,1833.37,1925.85,1833.33,1896.84,1896.84,31295080000
46,9/30/04,1909.59,1984.18,1899.33,1974.99,1974.99,35975380000
47,11/1/04,1975.48,2117.89,1969.32,2096.81,2096.81,37928210000
48,12/1/04,2104.58,2185.56,2097.86,2175.44,2175.44,44379920000
49,1/1/05,2184.75,2191.6,2008.68,2062.41,2062.41,43135970000
50,2/1/05,2063.27,2103.45,2023,2051.72,2051.72,36633150000
51,3/1/05,2057.47,2100.57,1968.58,1999.23,1999.23,39780380000
52,4/1/05,2009.09,2021.82,1889.83,1921.65,1921.65,37517930000
53,4/30/05,1923.23,2076.8,1916.03,2068.22,2068.22,34223410000
54,5/31/05,2067.23,2106.57,2039.69,2056.96,2056.96,36702320000
55,6/30/05,2060.97,2201.39,2050.3,2184.83,2184.83,32702310000
56,7/31/05,2191.49,2219.91,2112.25,2152.09,2152.09,34238710000
57,8/31/05,2150.03,2186.83,2093.06,2151.69,2151.69,34790080000
58,9/30/05,2152.7,2167,2025.58,2120.3,2120.3,36500900000
59,11/1/05,2109.89,2269.3,2108.86,2232.82,2232.82,35854200000
60,12/1/05,2244.85,2278.16,2200.51,2205.32,2205.32,34343260000
61,1/1/06,2216.53,2332.92,2189.91,2305.82,2305.82,41781780000
62,2/1/06,2294.11,2313.53,2232.68,2281.39,2281.39,37103890000
63,3/1/06,2288.15,2353.14,2239.54,2339.79,2339.79,47567350000
64,4/1/06,2352.24,2375.54,2299.42,2322.57,2322.57,39227480000
65,4/30/06,2329.79,2352.56,2135.81,2178.88,2178.88,45923780000
66,5/31/06,2179.82,2233.88,2065.11,2172.09,2172.09,43418010000
67,6/30/06,2177.91,2190.44,2012.78,2091.47,2091.47,36405330000
68,7/31/06,2080.34,2193.34,2048.22,2183.75,2183.75,38177580000
69,8/31/06,2194.56,2273.3,2147.44,2258.43,2258.43,37304950000
