Date,Open,High,Low,Close,Adj Close,Volume
1988-04-01,8.68,8.87,8.52,8.87,8.87,0
1988-05-01,8.94,9.24,8.89,9.2,9.2,0
1988-06-01,9.03,9.07,8.69,8.82,8.82,0
1988-07-01,8.77,9.16,8.77,9.12,9.12,0
1988-08-01,9.07,9.41,8.99,9.25,9.25,0
1988-09-01,9.25,9.25,8.87,8.87,8.87,0
1988-10-01,8.84,8.87,8.65,8.65,8.65,0
1988-11-01,8.68,9.17,8.68,9.06,9.06,0
1988-12-01,9.01,9.21,8.95,9.14,9.14,0
1989-01-01,9.23,9.27,8.93,9.01,9.01,0
1989-02-01,8.99,9.38,8.95,9.32,9.32,0
1989-03-01,9.36,9.53,9.23,9.3,9.3,0
1989-04-01,9.21,9.34,9.02,9.02,9.02,0
1989-05-01,9.14,9.16,8.58,8.6,8.6,0
1989-06-01,8.61,8.61,8.1,8.1,8.1,0
1989-07-01,8.09,8.13,7.82,7.82,7.82,0
1989-08-01,7.74,8.29,7.74,8.26,8.26,0
1989-09-01,8.19,8.32,8.09,8.31,8.31,0
1989-10-01,8.28,8.28,7.86,7.92,7.92,0
1989-11-01,7.91,8,7.8,7.84,7.84,0
1989-12-01,7.81,7.95,7.77,7.93,7.93,0
1990-01-01,7.94,8.51,7.94,8.43,8.43,0
1990-02-01,8.42,8.62,8.31,8.51,8.51,0
1990-03-01,8.59,8.73,8.51,8.65,8.65,0
1990-04-01,8.65,9.07,8.55,9.04,9.04,0
1990-05-01,9.08,9.09,8.6,8.6,8.6,0
1990-06-01,8.44,8.58,8.38,8.43,8.43,0
1990-07-01,8.43,8.57,8.34,8.36,8.36,0
1990-08-01,8.29,9.05,8.29,8.86,8.86,0
1990-09-01,8.9,9.04,8.81,8.82,8.82,0
1990-10-01,8.71,8.92,8.62,8.65,8.65,0
1990-11-01,8.57,8.58,8.26,8.26,8.26,0
1990-12-01,8.22,8.22,7.91,8.08,8.08,0
1991-01-01,7.97,8.25,7.93,8.03,8.03,0
1991-02-01,7.91,8.02,7.77,8.02,8.02,0
1991-03-01,8.12,8.25,8.02,8.05,8.05,0
1991-04-01,8.07,8.15,7.95,8.02,8.02,0
1991-05-01,8.01,8.14,7.97,8.06,8.06,0
1991-06-01,8.14,8.36,8.14,8.24,8.24,0
1991-07-01,8.26,8.36,8.2,8.2,8.2,0
1991-08-01,8.2,8.2,7.74,7.82,7.82,0
1991-09-01,7.81,7.83,7.47,7.47,7.47,0
1991-10-01,7.45,7.69,7.39,7.47,7.47,0
1991-11-01,7.48,7.56,7.33,7.38,7.38,0
1991-12-01,7.32,7.32,6.71,6.71,6.71,0
1992-01-01,6.78,7.31,6.76,7.31,7.31,0
1992-02-01,7.36,7.47,7.2,7.27,7.27,0
1992-03-01,7.38,7.71,7.38,7.54,7.54,0
1992-04-01,7.46,7.61,7.33,7.61,7.61,0
1992-05-01,7.56,7.58,7.2,7.33,7.33,0
1992-06-01,7.39,7.39,7.12,7.14,7.14,0
1992-07-01,7.1,7.1,6.6,6.72,6.72,0
1992-08-01,6.72,6.73,6.46,6.62,6.62,0
1992-09-01,6.56,6.56,6.29,6.37,6.37,0
1992-10-01,6.23,6.86,6.23,6.8,6.8,0
1992-11-01,6.88,7,6.78,6.95,6.95,0
1992-12-01,6.94,6.94,6.65,6.7,6.7,0
1993-01-01,6.6,6.76,6.39,6.39,6.39,0
1993-02-01,6.38,6.46,5.92,6.03,6.03,0
1993-03-01,5.94,6.17,5.83,6.03,6.03,0
1993-04-01,6.06,6.16,5.85,6.05,6.05,0
1993-05-01,5.96,6.17,5.89,6.16,6.16,0
1993-06-01,6.07,6.11,5.79,5.8,5.8,0
1993-07-01,5.8,5.95,5.71,5.83,5.83,0
1993-08-01,5.85,5.87,5.42,5.45,5.45,0
1993-09-01,5.46,5.47,5.23,5.4,5.4,0
1993-10-01,5.34,5.47,5.19,5.388,5.388,0
1993-11-01,5.56,5.877,5.469,5.795,5.795,0
1993-12-01,5.813,5.847,5.622,5.783,5.783,0
1994-01-01,5.796,5.9,5.541,5.638,5.638,0
1994-02-01,5.651,6.211,5.583,6.15,6.15,0
1994-03-01,6.168,6.852,6.142,6.774,6.774,0
1994-04-01,6.908,7.176,6.779,7.035,7.035,0
1994-05-01,7.05,7.485,6.929,7.152,7.152,0
1994-06-01,7.182,7.329,6.863,7.329,7.329,0
1994-07-01,7.289,7.47,7.086,7.095,7.095,0
1994-08-01,7.176,7.384,7.033,7.165,7.165,0
1994-09-01,7.174,7.65,7.072,7.599,7.599,0
1994-10-01,7.604,7.974,7.553,7.793,7.793,0
1994-11-01,7.826,8.162,7.783,7.888,7.888,0
1994-12-01,7.883,7.989,7.717,7.827,7.827,0
1995-01-01,7.822,7.928,7.593,7.593,7.593,0
1995-02-01,7.548,7.684,7.206,7.21,7.21,0
1995-03-01,7.232,7.454,6.995,7.189,7.189,0
1995-04-01,7.203,7.203,6.93,7.046,7.046,0
1995-05-01,7.059,7.072,6.256,6.286,6.286,0
1995-06-01,6.294,6.4,5.842,6.203,6.203,0
1995-07-01,6.199,6.52,5.956,6.429,6.429,0
