Date,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31
"		TreasuryStock",7837000000,1837000000,1837000000,1837000000,1837000000,1837000000,1837000000,1837000000,1837000000,1837000000,1837000000,877000000,600000000,600000000,600000000,500000000,252000000,,,,,,,,,,
"		GainsLossesNotAffectingRetainedEarnings",-4487000000,-1376000000,-180000000,-986000000,-1035000000,-484000000,-985000000,-723000000,-511000000,-185000000,-239000000,-316000000,-190000000,-56000000,-123000000,5000000,-1000000,6000000,32109000,37739000,9662000,-36070000,-2376000,-1709000,1806000,,
"		OtherEquityInterest",,,,,,,,,,,,,,,,,,,-2038000,-2850000,-6591000,-9853000,-13448000,-48977000,-2724000,62100000,9400000
TotalCapitalization,2.13193E+11,1.86989E+11,1.2522E+11,85474000000,67044000000,52452000000,26979000000,21619000000,19006000000,12937000000,11276000000,8012000000,7048000000,5366000000,3081000000,2479000000,1678000000,1767000000,1627593000,908173000,923506000,699718000,1147122000,1732616000,486822000,105200000,3400000
CommonStockEquity,1.46043E+11,1.38245E+11,93404000000,62060000000,43549000000,27709000000,19285000000,13384000000,10741000000,9746000000,8192000000,7757000000,6864000000,5257000000,2672000000,1197000000,431000000,246000000,-227211000,-1036107000,-1352814000,-1440000000,-967251000,266278000,138745000,28500000,3400000
CapitalLeaseObligations,72968000000,67651000000,52573000000,39791000000,16292000000,13183000000,7519000000,5948000000,4224000000,1990000000,746000000,1160000000,457000000,143000000,124000000,62000000,20000000,,1744000,2717000,8491000,26337000,24837000,,63000,,
NetTangibleAssets,1.25755E+11,1.17767E+11,73406000000,43257000000,24891000000,10988000000,14647000000,8863000000,6658000000,6446000000,4915000000,5155000000,4952000000,4023000000,2234000000,975000000,236000000,87000000,-366210000,-1105746000,-1427085000,-1519749000,-1222576000,-463866000,-47632000,28500000,3400000
WorkingCapital,-8602000000,19314000000,6348000000,8522000000,6710000000,2314000000,1965000000,2575000000,3238000000,1645000000,2294000000,2594000000,3375000000,2433000000,1411000000,1450000000,841000000,1000000000,918996000,568108000,549718000,286506000,386173000,273243000,262679000,93500000,2200000
InvestedCapital,2.13193E+11,1.86989E+11,1.2522E+11,85474000000,67044000000,52452000000,26979000000,21619000000,19006000000,12937000000,11276000000,8012000000,7048000000,5366000000,3140000000,2479000000,1678000000,1767000000,1628745000,910831000,929319000,704788000,1151953000,1746938000,487506000,106700000,3400000
TangibleBookValue,1.25755E+11,1.17767E+11,73406000000,43257000000,24891000000,10988000000,14647000000,8863000000,6658000000,6446000000,4915000000,5155000000,4952000000,4023000000,2234000000,975000000,236000000,87000000,-366210000,-1105746000,-1427085000,-1519749000,-1222576000,-463866000,-47632000,28500000,3400000
TotalDebt,1.40118E+11,1.16395E+11,84389000000,63205000000,39787000000,37926000000,15213000000,14183000000,12489000000,5181000000,3830000000,1415000000,641000000,109000000,592000000,1344000000,1267000000,1521000000,1857700000,1949655000,2290624000,2171125000,2144041000,1480660000,348824000,78200000,
NetDebt,13262000000,12524000000,,,,4221000000,,,,,,,,,,,225000000,508000000,553356000,844665000,1543879000,1604506000,1296769000,1363698000,323200000,,
ShareIssued,10757000000,10640000000,10540000000,10420000000,10280000000,10140000000,10000000000,9880000000,9760000000,9660000000,9560000000,9460000000,9360000000,9220000000,8620000000,8320000000,8280000000,8320000000,8194220000,8067080000,7758120000,7464360000,7142800000,6903100000,6370680000,5750640000,5731880000
OrdinarySharesNumber,10242000000,10180000000,10060000000,9960000000,9820000000,9680000000,9540000000,9420000000,9300000000,9180000000,9080000000,9100000000,9020000000,8880000000,8620000000,8320000000,8280000000,8320000000,8194220000,8067080000,7758120000,7464360000,7142800000,6903100000,6370680000,5750640000,5731880000
TreasurySharesNumber,515000000,460000000,480000000,460000000,460000000,460000000,460000000,460000000,460000000,480000000,480000000,360000000,340000000,340000000,,,,,,,,,,,,,
