name,ttm,12/31/22,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03,12/31/02,12/31/01,12/31/00,12/31/99,12/31/98,12/31/97,12/31/96
"			PurchaseOfInvestment",-2565000000.00,-2565000000.00,-60157000000.00,-72479000000.00,-31812000000.00,-7100000000.00,-13777000000.00,-7756000000.00,-4091000000.00,-2542000000.00,-2826000000.00,-3302000000.00,-6257000000.00,-6279000000.00,-3890000000.00,-1677000000.00,-930000000.00,-1930000000.00,-1386000000.00,-1584089000.00,-535642000.00,-635810000.00,-567152000.00,-184455000.00,-4290173000.00,-546509000.00,-20500000.00,
"			SaleOfInvestment",31601000000.00,31601000000.00,59384000000.00,50237000000.00,22681000000.00,8240000000.00,9988000000.00,4733000000.00,3025000000.00,3349000000.00,2306000000.00,4237000000.00,6843000000.00,4250000000.00,1966000000.00,1305000000.00,1271000000.00,1845000000.00,836000000.00,1426786000.00,813184000.00,553289000.00,370377000.00,545724000.00,4024551000.00,332084000.00,5200000.00,
"		NetOtherInvestingChanges",,,,,,,,,,,,,,,,,,,,,,,-6198000.00,-62533000.00,,,,
FinancingCashFlow,9718000000.00,9718000000.00,6291000000.00,-1104000000.00,-10066000000.00,-7686000000.00,9860000000.00,-2911000000.00,-3763000000.00,4432000000.00,-539000000.00,2259000000.00,-482000000.00,181000000.00,-280000000.00,-198000000.00,50000000.00,-400000000.00,-193000000.00,-97292000.00,-331986000.00,106894000.00,106881000.00,693147000.00,1104071000.00,254462000.00,122500000.00,8200000.00
"	CashFlowFromContinuingFinancingActivities",9718000000.00,9718000000.00,6291000000.00,-1104000000.00,-10066000000.00,-7686000000.00,9860000000.00,-2911000000.00,-3763000000.00,4432000000.00,-539000000.00,2259000000.00,-482000000.00,181000000.00,-280000000.00,-198000000.00,50000000.00,-400000000.00,-193000000.00,-97292000.00,-331986000.00,106894000.00,106881000.00,693147000.00,1104071000.00,254462000.00,122500000.00,8200000.00
"		NetIssuancePaymentsOfDebt",15718000000.00,15718000000.00,6291000000.00,-1104000000.00,-10066000000.00,-7686000000.00,9860000000.00,-3740000000.00,-3882000000.00,4426000000.00,-617000000.00,2790000000.00,-267000000.00,-78000000.00,-385000000.00,-268000000.00,-50000000.00,-285000000.00,-259000000.00,-157401000.00,-495308000.00,-14795000.00,-9575000.00,664572000.00,1074753000.00,247879000.00,75000000.00,
"			NetLongTermDebtIssuance",11719000000.00,11719000000.00,6088000000.00,-1723000000.00,-10066000000.00,-7686000000.00,9860000000.00,-3740000000.00,-3882000000.00,4426000000.00,-617000000.00,2790000000.00,-267000000.00,-78000000.00,-385000000.00,-268000000.00,-50000000.00,-285000000.00,-259000000.00,-157401000.00,-495308000.00,-14795000.00,-9575000.00,664572000.00,1074753000.00,247879000.00,,
"				LongTermDebtIssuance",21166000000.00,21166000000.00,19003000000.00,10525000000.00,2273000000.00,768000000.00,16231000000.00,621000000.00,353000000.00,6359000000.00,394000000.00,3378000000.00,177000000.00,143000000.00,87000000.00,87000000.00,24000000.00,98000000.00,11000000.00,,0.00,0.00,10000000.00,681499000.00,1263639000.00,325987000.00,,
"				LongTermDebtPayments",-9447000000.00,-9447000000.00,-12915000000.00,-12248000000.00,-12339000000.00,-8454000000.00,-6371000000.00,-4361000000.00,-4235000000.00,-1933000000.00,-1011000000.00,-588000000.00,-444000000.00,-221000000.00,-472000000.00,-355000000.00,-74000000.00,-383000000.00,-270000000.00,-157401000.00,-495308000.00,-14795000.00,-19575000.00,-16927000.00,-188886000.00,-78108000.00,,
"			NetShortTermDebtIssuance",3999000000.00,3999000000.00,203000000.00,619000000.00,,,,,,,,,,,,,,,,,,,,,,,,
"				ShortTermDebtIssuance",41553000000.00,41553000000.00,7956000000.00,6796000000.00,,,,,,,,,,,,,,,,,,,,,,,,
"				ShortTermDebtPayments",-37554000000.00,-37554000000.00,-7753000000.00,-6177000000.00,,,,,,,,,,,,,,,,,,,,,,,,
"		NetCommonStockIssuance",-6000000000.00,-6000000000.00,,,,,,,,0.00,0.00,-960000000.00,-277000000.00,0.00,0.00,-100000000.00,-248000000.00,-252000000.00,66000000.00,60109000.00,0.00,0.00,99831000.00,44697000.00,64469000.00,8383000.00,49800000.00,8200000.00
"			CommonStockIssuance",,,,,,,,,,,,,,,,,,,66000000.00,60109000.00,0.00,0.00,99831000.00,44697000.00,64469000.00,8383000.00,49800000.00,8200000.00
"			CommonStockPayments",-6000000000.00,-6000000000.00,,,,,,,,0.00,0.00,-960000000.00,-277000000.00,0.00,0.00,-100000000.00,-248000000.00,-252000000.00,,,,,,,,,,
"		CashDividendsPaid",,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,
"		ProceedsFromStockOptionExercised",,,,,,,,,,,,,,,,11000000.00,91000000.00,35000000.00,66000000.00,60109000.00,163322000.00,121689000.00,16625000.00,44697000.00,,5983000.00,,
"		InterestPaidCFF",,,,,,,,,,,,,,,,,,,,,,0.00,0.00,-16122000.00,-35151000.00,-7783000.00,,
"		NetOtherFinancingCharges",,,,,,,,829000000.00,119000000.00,6000000.00,78000000.00,429000000.00,62000000.00,259000000.00,105000000.00,159000000.00,257000000.00,102000000.00,,,,,,-16122000.00,-35151000.00,-7783000.00,-2300000.00,
EndCashPosition,54253000000.00,54253000000.00,36477000000.00,42377000000.00,36410000000.00,32173000000.00,20522000000.00,19334000000.00,15890000000.00,14557000000.00,8658000000.00,8084000000.00,5269000000.00,3777000000.00,3444000000.00,2769000000.00,2539000000.00,1022000000.00,1013000000.00,1302600000.00,1102273000.00,738254000.00,540282000.00,822435000.00,116962000.00,25561000.00,0.00,0.00
"	ChangesInCash",18869000000.00,18869000000.00,-5536000000.00,5349000000.00,4167000000.00,10668000000.00,475000000.00,3656000000.00,1707000000.00,6209000000.00,660000000.00,2844000000.00,1491000000.00,316000000.00,676000000.00,300000000.00,1497000000.00,-31000000.00,-238000000.00,151637000.00,296687000.00,159501000.00,-266195000.00,726683000.00,90912000.00,23720000.00,103500000.00,5300000.00
